LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 6.0, 10289.0, 50700, 1.0, 9609.0, 150, 9.0, 10289.0, 20280, -545.0, -136.0, 2050, -61.0, -32.0, 150, 1299.0, 10761.0, 20284,
1, 6.0, 11039.0, 43200, 1.0, 10999.0, 2400, 9.0, 11039.0, 17280, -545.0, -136.0, 2050, -584.0, -66.0, 2575, 1639.0, 11423.0, 17284,
